STD_DT,SN,OP100_LINESTATEMCSTATE,OP100_LINESTATECYCLETIME,OP100_LINESTATETOTALCOUNT,OP100_LINESTATENGCOUNT,OP100_LINESTATEMAINERR,OP100_LINESTATEM1ERR,OP100_LINESTATEM2ERR,OP100_LINESTATEM3ERR,OP100_LINESTATEM4ERR,OP100_LINESTATEM5ERR,OP100_LINESTATEM6ERR,OP100_PRODBARCODE,OP100_PRODMODEL,OP100_PRODLEFTRIGHT,OP100_FAPOWERMETERV12,OP100_FAPOWERMETERV23,OP100_FAPOWERMETERV31,OP100_FAPOWERMETERA1,OP100_FAPOWERMETERA2,OP100_FAPOWERMETERA3,OP100_FAPOWERMETERW,OP100_FAPOWERMETERPF,OP100_FAPOWERMETERVAR,OP100_FAPOWERMETERHZ,OP100_FAPOWERMETERV1,OP100_FAPOWERMETERV2,OP100_FAPOWERMETERV3,OP100_FAAIRPRESS,OP100_FAMOTORM1,OP100_FAMOTORM2,OP100_FAMOTORM3,OP100_FAMOTORM4,OP100_FAMOTORM5,OP100_FAMOTORM6,OP100_FATEMP,OP100_FAWET,OP100_PRODWLEAK,OP100_PRODGLEAK,OP100_PRODWLEAKJUD,OP100_PRODGLEAKJUD,OP100_PRODJUD
2020-09-01 0:00,8599834042008290000 ,,34.3,,,,,,,,,,,,,213,212,212,2.6,2.9,2.7,0.5,,,,,,121,0.51,1.9,,1.9,2.9,0.7,1.9,,53.5,0.278,0.438,1,1,1
2020-09-01 0:02,8599834042008290000 ,,,,,,,,,,,,,,,,,,2.1,,,,,,,,122,,0.51,0.7,,1.3,,0.5,1.4,,53.4,0.308,1.297,,2,2
2020-09-01 0:03,8599834042008290000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.5,,,53.3,0.377,0.2,,1,1
2020-09-01 0:03,8599834042008290000 ,,,,,,,,,,,,,,,,,212,2.1,,1.9,,,,60,,,,,,,,,,1.3,,53.2,0.309,6.321,,2,2
2020-09-01 0:25,8599834042008290000 ,1,1347.8,,,,,,,,,,,,,214,212,212,3.1,3.2,2.7,0.7,,,,,123,121,0.52,,,1.3,2.6,0.7,1.8,,53.3,0,0.202,,1,1
2020-09-01 0:29,8599834042008290000 ,,,,,20,,,,,,,,,,213,,,3.5,3.7,3.2,0.8,,,60,123,,121,0.52,2,,1.9,2.9,0.8,1.9,,53,0.282,1.098,,2,2
2020-09-01 0:30,8599834042008290000 ,,43.2,,,,,,,,,,,,,213,211,211,2.9,3.1,2.5,0.6,,,,,,,0.52,2.2,,1.9,2.6,0.7,1.8,,53,0.36,0.297,,1,1
2020-09-01 0:51,8599834042008280000 ,,,,,20,,,,,,,,,,213,212,211,3.1,3.2,2.6,0.7,,,,123,,,0.51,1.9,,1.9,2.1,0.8,1.7,,53.7,5.07,0,2,0,2
2020-09-01 0:51,8599834042008280000 ,,32.3,,,,,,,,,,,,,212,,,,,,,,,,,,,,,,,,0.4,,,53.7,0.39,0.425,1,1,1
2020-09-01 1:00,8599834042008280000 ,,,,,20,,,,,,,,,,212,210,210,3.2,3.5,2.9,0.7,,,,,122,120,0.52,1.9,,1.8,2.7,0.7,1.9,,54.2,0.266,1.746,,2,2
2020-09-01 1:01,8599834042008280000 ,,53.5,,,,,,,,,,,,,212,211,,3.2,3.6,3,0.8,,,,,122,120,0.5,1.9,,1.8,2.9,0.8,1.9,,54.2,0.415,0.308,,1,1
2020-09-01 1:03,8599834042008280000 ,,,,,,,,,,,,,,,,,,2.1,1.8,,,,,,,,,0.51,1.6,,1.6,0.5,0,1.3,,54.3,9.344,0,2,0,2
2020-09-01 1:03,8599834042008280000 ,,63.7,,,,,,,,,,,,,,,,2.6,2.6,2.3,0.5,,,,,,,,0.6,,,2.1,0.6,1.4,,54.3,0.325,0.309,1,1,1
2020-09-01 1:45,8599834042008280000 ,,,,,,,,,,,,,,,,213,211,3,3.4,2.8,0.7,,,60,,123,,0.53,1.9,,1.9,2.2,0.8,1.7,,55.5,5.955,0,2,0,2
2020-09-01 1:45,8599834042008280000 ,,,,,,,,,,,,,,,,212,211,2.5,2.5,2.3,,,,,,,,,1.4,,,,0.4,,,,0.319,0.271,1,1,1
2020-09-01 1:46,8599834042008280000 ,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,7.388,0,2,0,2
2020-09-01 1:46,8599834042008280000 ,,70.2,,,,,,,,,,0,,,,,,2.5,2.5,2.2,,,,60,,122,,,1.8,,1.9,,,1.5,,,0.345,0.318,1,1,1
2020-09-01 1:48,8599834042008280000 ,,,,,,,,,,,,,,,,,,2.3,2.1,2,0.5,,,,,123,,0.51,1.9,,1.6,1,0.2,1.4,,55.7,5.502,0,2,0,2
2020-09-01 1:52,8599834042008280000 ,,344.2,,,,,,,,,,,,,213,212,,2.9,3.5,3,0.7,,,,,123,121,0.52,1.9,,1.9,2.9,0.7,1.9,,55.9,,0.257,1,1,1
2020-09-01 2:18,8599834042008290000 ,,,,,,,,,,,,,,,,,212,2.2,1.8,1.8,0.4,,,,,123,,0.52,,,1.7,1.6,0.4,,,56.2,,,2,0,2
2020-09-01 2:18,8599834042008290000 ,,31.9,,,,,,,,,,,,,,212,212,2.8,2.5,2.4,0.4,,,60,,123,,0.52,1.1,,1.4,2.3,0.5,1.8,,56.3,,,1,1,1
2020-09-01 2:35,8599834042008290000 ,,,,,,,,,,,,,,,213,212,212,3.5,3.7,3,0.8,,,60,123,123,,0.52,1.9,,1.8,2.5,0.6,1.9,,56.7,,,2,0,2
2020-09-01 2:35,8599834042008290000 ,,42.3,,,,,,,,,,,,,213,212,212,2.9,3.1,2.7,0.7,,,,,123,121,0.53,1.9,,1.8,2.3,0.7,1.8,,56.7,,,1,1,1
2020-09-01 2:42,8599834042008270000 ,,,,,,,,,,,,,,,,212,212,3.3,3.5,2.9,0.8,,,,,123,121,,1.9,,1.8,2.9,0.8,1.9,,57,,,,2,2
2020-09-01 2:42,8599834042008270000 ,,38.6,,,,,,,,,,,,,214,,212,3.2,3.3,3,0.8,,,,,123,,0.52,1.9,,1.9,2.4,0.6,1.7,,56.9,,,,1,1
2020-09-01 2:48,8599834042008280000 ,,,,,,,,,,,,,,,214,212,,3,3.6,2.8,0.6,,,,,123,121,0.53,1.9,,1.8,2.3,0.8,1.6,,56.6,,,2,0,2
2020-09-01 2:49,8599834042008280000 ,,35.5,,,,,,,,,,,,,,212,211,2.8,3,2.6,0.7,,,59.9,,123,121,0.53,1.6,,1.5,2.6,0.6,1.7,,56.6,,,1,1,1
2020-09-01 2:49,8599834042008270000 ,,,,,,,,,,,,,,,213,212,211,2.8,1.9,1.9,0.5,,,60,,123,121,0.52,1.9,,1.6,1.9,0.5,1.4,,56.7,,,2,0,2
2020-09-01 2:49,8599834042008280000 ,,52.5,,,,,,,,,,,,,213,212,,2.6,2.9,2.4,0.6,,,60,,,121,0.52,1.9,,1.7,2.8,0.6,1.8,,56.7,,,1,1,1
2020-09-01 2:51,8599834042008280000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,1.2,,56.8,,,2,0,2
2020-09-01 2:53,8599834042008270000 ,,155.6,,,,,,,,,,,,,213,212,211,3.8,4.3,3.6,0.9,,,60,123,123,121,0.53,2.2,,1.9,2.9,0.8,1.9,,57,,0.208,1,1,1
2020-09-01 2:54,8599834042008270000 ,,,,,,,,,,,,,,,,212,212,3.2,3.1,2.7,0.5,,,60,,123,,0.52,1.8,,1.7,2.9,0.7,1.9,,56.8,,0,2,0,2
2020-09-01 2:54,8599834042008270000 ,,18.1,,,,,,,,,,,,,213,212,,2.6,2.4,2.1,0.6,,,,,123,121,0.52,1.6,,1.7,2.8,0.6,1.8,,56.9,,0.434,1,1,1
2020-09-01 3:04,8599834042008280000 ,,,,,,,,,,,,,,,214,213,212,3.1,3.2,2.7,0.7,,,,,123,,0.52,1.9,,1.8,1.7,0.6,1.1,,56.9,,0,2,0,2
2020-09-01 3:05,8599834042008270000 ,,106.7,,,20,,,,,,,,,,,,,2.8,3,2.5,0.6,,,,,,,0.52,,,1.6,2.7,0.7,1.9,,56.7,,0.876,,1,1
2020-09-01 3:07,8599834042008280000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.8,,,,56.9,,0,2,0,2
2020-09-01 3:07,8599834042008280000 ,,38.4,,,,,,,,,,,,,,212,,3.2,3.4,2.6,0.7,,,60,,122,121,0.53,1.9,,1.9,2.9,0.8,1.9,,56.9,,0.944,1,1,1
2020-09-01 3:09,8599834042008280000 ,,,,,,,,,,,,,,,213,212,212,3.1,2.9,2.7,0.6,,,,,123,121,0.52,1.7,,1.6,2.8,0.7,1.9,,57,,1.112,,2,2
2020-09-01 3:10,8599834042008270000 ,,52.7,,,,,,,,,,,,,,212,,3.2,3.3,3.1,0.8,,,,,,121,,,,1.8,2,0.5,1.5,,56.9,,0.495,,1,1
2020-09-01 3:11,8599834042008270000 ,,,,,,,,,,,,,,,214,212,212,2.9,3,2.6,0.6,,,60,,123,121,,0.6,,,2.6,0.7,1.8,,56.9,,1.061,,2,2
2020-09-01 3:11,8599834042008270000 ,,52.7,,,,,,,,,,,,,,,212,2.6,2.5,2.4,0.6,,,,,,,0.52,1.9,,1.4,2.5,0.5,1.6,,57,,0.564,,1,1
2020-09-01 3:17,8599834042008270000 ,,,,,,,,,,,,,,,214,212,212,3.3,3.4,3,0.8,,,,,123,121,,1.9,,1.7,2.5,0.7,1.9,,56.6,,1.33,,2,2
2020-09-01 3:17,8599834042008270000 ,,51.4,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406,,1,1
2020-09-01 3:18,8599834042008270000 ,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.8,1,,,,56.6,,1.142,,2,2
2020-09-01 3:18,8599834042008270000 ,,47.6,,,0,,,,,,,,,,,,212,2.6,2.5,2.3,0.6,,,59.9,,123,,0.53,1.9,,1.9,2.2,0.5,1.8,,56.6,,0.344,,1,1
2020-09-01 3:22,8599834042008280000 ,,,,,,,,,,,,,,,214,212,,3.3,3.7,2.9,0.8,,,,,123,,,1.9,,1.9,2.9,0.7,1.8,,56.4,,1.15,,2,2
2020-09-01 3:23,8599834042008270000 ,,58.4,,,20,,,,,,,,,,,,,3,3,2.4,0.6,,,,,,,0.53,1.3,,1.4,2.4,0.6,1.9,,56.3,,0.675,,1,1
2020-09-01 4:06,8599834042008290000 ,,,,,,,,,,,,,,,,,,2.5,2.4,2,0.5,,,,123,,,,1.1,,,1.9,0.5,1.2,,56.7,,,2,0,2
